,retweet_from,tweet_length,encoded_sentiment,polarity,tweet,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38
0,171,105,1,0.3666666666666667,assuming acceleration of to but in a comfortable direction will feel like a mild to,-0.03175037786966546,-0.028850320801058416,-0.030289938287615906,-0.01873614547395787,-0.060674528204726755,0.05779815318878762,-0.12451464940728571,0.11667904018649189,0.05947304087819503,-0.029158081026968888,-0.048222725685620804,0.07241784279275856,0.039078515696166556,0.029368203040521682,-0.05011875842817704,0.01816878616527934,0.014244541209714141,-0.03829093493733357,0.009113991554533032,-0.033604367470852964,0.0030031980311223216,0.01421118426073862,0.010249380077305692,0.010154709725715973,0.03730282562921599,-0.012739208683407867,0.0033080033479142385,-0.04884258178198021,-0.002729177176745394,0.01788520541367138,0.0458221637030839,-0.006861764346854267,-0.012954435673643381,-0.005468289385289931,-0.10057216344195648,-0.029374024893769564,0.04136255387742542,0.03593214618676279
1,77,113,1,0.2,is capable of transporting satellite to orbit crew and cargo to the and mission to the moon an,-0.059330620569946056,-0.0998259554887792,-0.1547721442106233,-0.04035540833504597,0.07228517178121185,0.20916342645952263,-0.08003073509678928,0.07779224254297508,-0.07338907943706403,-0.08928799218728242,0.03866672782034365,0.06681783859142476,0.005670307956197897,0.014331768497505549,-0.019438948729831065,0.05427902806104155,-0.1065159440287638,0.2148902289017941,0.036410752827889976,0.0015251241688797779,0.05259635215983688,0.01936255453980843,-0.09193162536384004,-0.03803155657059368,0.01436794926432159,-0.0041895193042508164,0.000696910140278309,-0.094945974872568,-0.059360662650968725,-0.01166718119603764,0.0038815880488657696,0.01800247134683736,-0.019813168704675938,-0.035808810677294474,-0.0340787868780457,-0.014686725032252056,-0.008985597241538424,-0.019845200797737935
2,171,6,0,0.0,yup,-0.002330266827480595,0.033983220433503394,0.06953114311979793,-0.014176648509893634,-0.03777385103971405,-0.07127938004337302,0.007401753212943162,-0.015969376626331414,-0.033555888227505,0.007775749280525011,0.01961361732246907,-0.02080190852703675,-0.015856463268557334,0.0197917363274298,-0.012359723024070362,-0.02789613993615745,-0.05849564599085838,-0.006933417792054886,0.05020673390795227,-0.017128150990251098,0.011498670040405494,-0.03370253663790109,0.007066108950226996,0.05056961346066091,-0.04765327828429156,-0.05029238964016251,-0.011638402293823197,-0.010416044750323263,0.08797055371905325,0.015721767743000298,-0.02572648422456951,0.0657348170358321,0.04168596779357146,-0.0217508632734797,-0.014137699418382648,-0.0370467809809272,-0.0500306912650342,-0.08472243223945189
3,171,7,0,0.0,part,-0.005050304556622347,0.02411744371250824,0.04336249874214874,-0.0018041490150656168,-0.016278873877488588,-0.0520161580027825,-0.0018234338356593704,-0.0013210032694661305,-0.008977715635884996,-0.027989573763094244,0.002410062656428073,-0.009106184982396803,-0.02129173308295683,-0.0009336990715628629,-0.010814208857007053,-0.01299350343682508,-0.02114021287366165,-0.012801155795837476,0.027110565004224874,0.000938843351817023,0.00837109808857764,0.002357302591091629,0.03200812082559634,0.009641965362987089,-0.01791605496625507,-0.02952990455314039,0.0006142332746605606,-0.01070048641878094,0.015860993583440876,-0.009052270107483855,-0.008601306752401124,0.0012848168890604254,-0.007618589774372998,-0.005289022760584709,-0.025699912801415963,-0.008988985536138971,-0.011966651907662261,-0.004664859975859544
4,171,96,1,0.65,fly to most place on earth in under min and anywhere in under cost per seat should be,-0.03116689918116862,-0.027725142056517188,-0.012331474610349096,-0.039909411551816466,-0.07046185010731411,0.019591421002613813,-0.12761439749707165,-0.06997899887775828,0.07459494636686152,0.034137584185531575,-0.041223512070652335,0.03370849710962958,0.08402750915626352,0.021628186738023244,-0.10361176637023731,0.05542315016755503,-0.05270945032733657,0.02142348728586469,-0.07086834764334289,-0.050240334568721935,0.015235912753053483,0.09866616527310297,-0.04968835790056705,0.001981539363867948,-0.06125892898745122,-0.0007047050745537713,0.01682823480623084,-0.0012860595512478126,-0.08123381690647996,0.020042456123738984,0.0305262240045388,-0.039461741864627795,0.08818647744147616,-0.012277394726961498,0.03384876810499041,0.040576013535269996,0.05197511851831785,-0.03123554620144761
5,77,80,1,0.125,supporting the creation of a permanent self sustaining human presence on mar,-0.022098383220363484,-0.021101047123381622,-0.019925573954173513,-0.04355577968818485,0.08286677605623297,-0.042119060523757995,0.010752029822464891,0.022387145765028166,-0.008760125217811197,0.05839026799997023,0.030327066791438914,-0.04018553168470599,-0.07782481469597417,-0.01093084623299673,-0.009919278494693089,0.06174534933171005,-0.04470937957290725,-0.06168698654097092,-0.055845261509004845,-0.02511133613064514,0.008994752350703086,-0.00857899114981251,-0.04844518908841657,-0.014605946086071527,-0.025331687166276647,-0.008363505664264767,-0.015066922746481554,-0.01625232690366189,-0.009927639258609976,0.0004201846513530948,0.006132852508317339,-0.018107732563536007,0.0043568189310486515,0.018504415714756084,-0.035834336811901735,0.02286175138626985,0.02524749714541635,-0.01877061526257752
6,171,57,-1,-0.16666666666666666,will take you anywhere on earth in than min,-0.030864153438773613,-0.014691484325988526,0.007440505973119195,-0.00828751900218037,-0.07762077209739703,-0.010864833770164116,-0.043793666279745104,-0.061626930819984584,0.15373501899110228,0.15751643283719213,-0.045415193848276664,0.01781031178068683,-0.010526116227384873,0.08359809675772426,-0.040525207630075874,-0.01238882678614317,0.06814950433770356,-0.07070401214729972,-0.12707057697419388,0.027455753280948417,-0.006294619243314601,0.1543510630178087,-0.12878102590400942,0.06891853800224845,-0.03008629224128631,0.013168874960370064,0.024997496087855283,-0.06404715740128893,0.013929967299164677,-0.0674919994387096,0.011106505384727867,-0.014178508180640342,0.010548196907526862,0.04109734070002298,0.008941538482227583,-0.008692803575781491,-0.04478978113493136,-0.0379674516695386
7,171,84,0,0.0,mar city opposite of earth dawn and dusk sky are blue on mar and day sky is red,-0.02469395302229791,-0.022628170711089798,0.003112733033560872,-0.021840184034037157,0.007558002419967985,-0.03557399136822222,0.03301442601402309,-0.01705301816240208,0.006144686799945083,-0.0017395841425000913,0.01635090120305315,-0.06555820398461634,0.008474394779904706,-0.010563235906101925,0.0033131170475800245,0.05497671631773735,-0.10699518482456781,0.1250223404104469,-0.0882577051991848,-0.054726810887565286,0.0026657401902322243,0.008201600576442923,-0.11098694520087243,-0.034345331875487245,-0.011365680997541887,0.03316698065330576,-0.027652430804558252,-0.08036711449632376,-0.04652611250052882,0.018548100869683483,-0.026800231716536123,-0.021018100860960225,-0.028715426276392383,0.008196644923101465,-0.006403724906752643,0.04996003526426008,-0.0033639510406603453,-0.026037061200573572
8,171,16,-1,-0.8,moon base alpha,-0.003928015248085767,0.02268712487193152,0.04685881882937474,-0.02383665960712636,-0.026973605871583976,-0.037830841308831534,0.0073436347146097845,-0.010133216759400097,-0.018104630183050023,0.002420218379050777,0.01808175632941858,-0.014202897521916771,-0.020169757955984812,0.007924639929487831,-0.006906394669476857,-0.016537931694076594,-0.0314861401978581,-0.0017260260272382766,0.024742396252219155,-0.0064855900719315435,0.01984883833444392,-0.011660125881689756,0.00317658958410067,0.023643733625232918,-0.019230223111908674,-0.01869090624764979,0.018304094614784317,-0.01675256194397154,0.008585304407762243,-0.0036622288377172996,-0.006989172957628964,0.011037343107035531,0.02119040921435126,0.018224756583676036,-0.023724051031633338,0.0005835102763512787,-0.004281021206838166,-0.024464524142216927
9,171,60,1,0.35714285714285715,will be something really special at talk,-0.01918830870857356,-0.006817074903065229,0.030088904459574163,-0.05133983538499593,-0.12531059955865037,0.006816876391040293,-0.010894324512172001,0.006601313202494426,0.22457119492986352,0.04999901612613656,0.007545256005538988,-0.08414830438947633,-0.01732944052166205,-0.15588907044811268,-0.05815059096273581,-0.07015184864736668,0.1279374397271214,-0.0005682301201162944,0.07325715399760457,0.04218208337062085,0.2163959196094435,-0.04089566024520171,0.023532254548051884,0.0267484417763858,0.016105169554563863,-0.02368235887800803,0.04266245476424802,-0.028543088407945713,-0.06280740494110928,-0.008177663370926852,-0.01797178925354803,-0.0005444896562671618,0.03588167894699803,-0.005440510919175254,-0.01781952558749006,0.016689618778107033,-0.018587210075201137,0.03220174014392949
